"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R12,R9,R5,R7,R10,R8,R6,R11";"R_0805_2012Metric";8;"100";;;
2;"S3";"PTS526_SMD_Button";1;"PTS526_SM08_SMTR2_LFS";;;
3;"R14";"R_0603_1608Metric";1;"1k";;;
4;"U2";"TSSOP-16_4.4x5mm_P0.65mm";1;"74HC595";;;
5;"LS1";"Buzzer_12x9.5RM7.6";1;"Speaker";;;
6;"C12,C10";"C_0603_1608Metric";2;"1uF";;;
7;"C8,C3,C15,C9,C11,C5,C7,C6";"C_0603_1608Metric";8;"0.1uF";;;
8;"J4";"PinSocket_2x04_P2.54mm_Vertical";1;"ESP_Conn";;;
9;"F1";"Fuse_1812_4532Metric";1;"PTCSMD";;;
10;"D3,D1,D2";"LED_0805_2012Metric";3;"LED";;;
11;"U4";"SOT-23-6";1;"USBLC6-2SC6";;;
12;"R17,R1,R2,R13";"R_0603_1608Metric";4;"10k";;;
13;"Y1";"Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm";1;"16MHz";;;
14;"C4";"C_0805_2012Metric";1;"10uF";;;
15;"J2";"PinSocket_2x03_P2.54mm_Vertical";1;"AVR-ISP-6";;;
16;"C14";"C_0603_1608Metric";1;"2.2uF";;;
17;"R3,R4";"R_0805_2012Metric";2;"330";;;
18;"R16,R15";"R_0603_1608Metric";2;"22";;;
19;"J1";"USB_Mini-B_Lumberg_2486_01_Horizontal";1;"USB_B_Mini";;;
20;"U5";"SOT-23-5";1;"LP2985_3.3v";;;
21;"S2,S1";"PTS125_SMD_Button";2;"PTS125SM43SMTR21M_LFS";;;
22;"C13";"C_0603_1608Metric";1;"10nF";;;
23;"U3";"TQFP-44_10x10mm_P0.8mm";1;"ATmega32U4-A";;;
24;"C2,C1";"C_0603_1608Metric";2;"22pF";;;
25;"U1";"CA56-12EWA";1;"CA56-12EWA";;;
